"Title: Number of Voters and Voter Registration as a Share of the Voter Population | KFF"
"Timeframe: November 2018"
"Location","Number of Registered Voters (in thousands)","Registered Voters as a Share of the Voter Population","Number of Individuals who Voted (in thousands)","Individuals who Voted as a Share of the Voter Population"
"United States","153066","0.669","122281","0.534"
"Alabama","2490","0.69","1830","0.507"
"Alaska","337","0.677","263","0.528"
"Arizona","3262","0.686","2800","0.589"
"Arkansas","1262","0.585","919","0.426"
"California","15690","0.615","13240","0.519"
"Colorado","2645","0.656","2342","0.581"
"Connecticut","1726","0.68","1370","0.54"
"Delaware","472","0.663","369","0.518"
"District of Columbia","397","0.776","313","0.611"
"Florida","9435","0.627","7918","0.526"
"Georgia","4840","0.662","4084","0.559"
"Hawaii","523","0.539","427","0.44"
"Idaho","743","0.606","587","0.479"
"Illinois","6068","0.678","4740","0.53"
"Indiana","3131","0.653","2364","0.493"
"Iowa","1658","0.74","1335","0.596"
"Kansas","1449","0.715","1152","0.569"
"Kentucky","2389","0.735","1746","0.538"
"Louisiana","2263","0.68","1656","0.498"
"Maine","828","0.784","693","0.656"
"Maryland","3095","0.723","2320","0.542"
"Massachusetts","3345","0.68","2731","0.555"
"Michigan","5453","0.734","4418","0.595"
"Minnesota","3000","0.749","2523","0.63"
"Mississippi","1599","0.734","1180","0.542"
"Missouri","3299","0.723","2509","0.55"
"Montana","579","0.713","518","0.638"
"Nebraska","883","0.663","676","0.508"
"Nevada","1277","0.618","1006","0.487"
"New Hampshire","726","0.708","576","0.562"
"New Jersey","4297","0.686","3384","0.54"
"New Mexico","916","0.617","715","0.481"
"New York","8553","0.625","6775","0.495"
"North Carolina","5160","0.693","3899","0.524"
"North Dakota","397","0.734","335","0.619"
"Ohio","6062","0.702","4538","0.525"
"Oklahoma","1777","0.651","1350","0.494"
"Oregon","2274","0.725","1918","0.611"
"Pennsylvania","6469","0.683","5173","0.546"
"Rhode Island","532","0.68","403","0.516"
"South Carolina","2430","0.645","1836","0.487"
"South Dakota","429","0.673","331","0.519"
"Tennessee","3183","0.635","2487","0.496"
"Texas","11634","0.633","8886","0.484"
"Utah","1443","0.684","1214","0.576"
"Vermont","343","0.69","273","0.549"
"Virginia","4159","0.72","3319","0.575"
"Washington","3852","0.737","3234","0.619"
"West Virginia","892","0.645","610","0.441"
"Wisconsin","3129","0.728","2776","0.646"
"Wyoming","268","0.635","220","0.521"

"Notes"
"Numerical data are reported in thousands and apply to the November 2014, November 2016, November 2018, November 2020, November 2022, and November 2024 elections. Data may not sum to total due to rounding."
""
"*Voter Population* includes US citizens who are of voting age (18 years of age or older). This population may include individuals who are ineligible to vote for reasons other than lack of citizenship or who are under 18 years of age."

"Sources"
"U.S. Census Bureau, Current Population Survey, November 2014, 2016, 2018, 2020, 2022, and 2024; [Voting and Registration Tables](https://www.census.gov/topics/public-sector/voting/data/tables.html)."


