"Title: Number of Voters and Voter Registration as a Share of the Voter Population | KFF"
"Timeframe: November 2020"
"Location","Number of Registered Voters (in thousands)","Registered Voters as a Share of the Voter Population","Number of Individuals who Voted (in thousands)","Individuals who Voted as a Share of the Voter Population"
"United States","168308","0.727","154628","0.668"
"Alabama","2527","0.68","2247","0.605"
"Alaska","383","0.742","330","0.638"
"Arizona","3878","0.764","3649","0.719"
"Arkansas","1361","0.62","1186","0.54"
"California","18001","0.694","16893","0.651"
"Colorado","2993","0.713","2837","0.676"
"Connecticut","1850","0.733","1681","0.666"
"Delaware","542","0.751","489","0.677"
"District of Columbia","464","0.869","448","0.84"
"Florida","10495","0.671","9720","0.621"
"Georgia","5233","0.707","4888","0.661"
"Hawaii","673","0.687","630","0.643"
"Idaho","900","0.693","843","0.649"
"Illinois","6590","0.744","6058","0.684"
"Indiana","3412","0.693","3002","0.61"
"Iowa","1742","0.76","1618","0.705"
"Kansas","1398","0.708","1297","0.657"
"Kentucky","2450","0.759","2210","0.685"
"Louisiana","2286","0.693","2041","0.619"
"Maine","832","0.774","766","0.713"
"Maryland","3383","0.786","3166","0.736"
"Massachusetts","3546","0.724","3249","0.663"
"Michigan","5513","0.738","4994","0.669"
"Minnesota","3436","0.829","3225","0.779"
"Mississippi","1749","0.804","1531","0.703"
"Missouri","3388","0.757","2990","0.668"
"Montana","641","0.775","607","0.735"
"Nebraska","971","0.709","892","0.652"
"Nevada","1455","0.662","1351","0.615"
"New Hampshire","843","0.783","797","0.74"
"New Jersey","5008","0.846","4638","0.783"
"New Mexico","1028","0.686","938","0.626"
"New York","9370","0.705","8609","0.647"
"North Carolina","5161","0.698","4780","0.647"
"North Dakota","429","0.773","373","0.671"
"Ohio","6733","0.77","6128","0.701"
"Oklahoma","1884","0.673","1631","0.583"
"Oregon","2590","0.799","2402","0.741"
"Pennsylvania","7337","0.763","6756","0.702"
"Rhode Island","575","0.741","515","0.663"
"South Carolina","2713","0.7","2459","0.634"
"South Dakota","437","0.674","380","0.585"
"Tennessee","3742","0.743","3346","0.664"
"Texas","13343","0.718","11874","0.639"
"Utah","1468","0.674","1386","0.636"
"Vermont","365","0.73","342","0.684"
"Virginia","4541","0.76","4275","0.715"
"Washington","4029","0.748","3854","0.715"
"West Virginia","928","0.673","773","0.561"
"Wisconsin","3391","0.767","3253","0.736"
"Wyoming","296","0.693","280","0.655"

"Notes"
"Numerical data are reported in thousands and apply to the November 2014, November 2016, November 2018, November 2020, November 2022, and November 2024 elections. Data may not sum to total due to rounding."
""
"*Voter Population* includes US citizens who are of voting age (18 years of age or older). This population may include individuals who are ineligible to vote for reasons other than lack of citizenship or who are under 18 years of age."

"Sources"
"U.S. Census Bureau, Current Population Survey, November 2014, 2016, 2018, 2020, 2022, and 2024; [Voting and Registration Tables](https://www.census.gov/topics/public-sector/voting/data/tables.html)."


