"Title: Number of Voters and Voter Registration as a Share of the Voter Population | KFF"
"Timeframe: November 2022"
"Location","Number of Registered Voters (in thousands)","Registered Voters as a Share of the Voter Population","Number of Individuals who Voted (in thousands)","Individuals who Voted as a Share of the Voter Population"
"United States","161,422","0.691","121,916","0.522"
"Alabama","2,499","0.673","1,688","0.454"
"Alaska","373","0.722","282","0.546"
"Arizona","3,560","0.699","2,844","0.558"
"Arkansas","1,360","0.622","961","0.439"
"California","17,032","0.673","13,044","0.515"
"Colorado","3,162","0.721","2,687","0.613"
"Connecticut","1,778","0.704","1,253","0.496"
"Delaware","578","0.766","409","0.542"
"District of Columbia","393","0.824","300","0.629"
"Florida","9,770","0.632","7,575","0.49"
"Georgia","5,275","0.694","4,323","0.569"
"Hawaii","651","0.639","509","0.5"
"Idaho","917","0.647","685","0.483"
"Illinois","6,110","0.692","4,600","0.521"
"Indiana","3,259","0.665","2,056","0.419"
"Iowa","1,732","0.739","1,215","0.518"
"Kansas","1,587","0.761","1,239","0.594"
"Kentucky","2,321","0.718","1,690","0.523"
"Louisiana","2,215","0.679","1,574","0.482"
"Maine","856","0.756","722","0.638"
"Maryland","3,301","0.756","2,525","0.579"
"Massachusetts","3,618","0.74","2,776","0.567"
"Michigan","5,797","0.771","4,757","0.633"
"Minnesota","3,255","0.773","2,680","0.637"
"Mississippi","1,572","0.726","1,005","0.464"
"Missouri","3,532","0.759","2,460","0.529"
"Montana","613","0.698","496","0.565"
"Nebraska","933","0.691","659","0.488"
"Nevada","1,436","0.651","1,123","0.509"
"New Hampshire","804","0.726","654","0.591"
"New Jersey","4,402","0.705","3,151","0.505"
"New Mexico","1,026","0.679","818","0.541"
"New York","8,897","0.658","6,631","0.491"
"North Carolina","4,583","0.608","3,439","0.457"
"North Dakota","418","0.756","288","0.52"
"Ohio","5,890","0.676","4,162","0.478"
"Oklahoma","1,936","0.681","1,335","0.47"
"Oregon","2,581","0.827","2,185","0.7"
"Pennsylvania","7,009","0.72","5,843","0.6"
"Rhode Island","626","0.743","458","0.544"
"South Carolina","2,491","0.644","1,736","0.449"
"South Dakota","460","0.7","351","0.534"
"Tennessee","3,467","0.674","2,291","0.445"
"Texas","12,416","0.652","8,935","0.47"
"Utah","1,536","0.674","1,204","0.528"
"Vermont","393","0.754","324","0.622"
"Virginia","4,487","0.743","3,216","0.532"
"Washington","4,140","0.751","3,292","0.597"
"West Virginia","877","0.626","538","0.384"
"Wisconsin","3,225","0.723","2,715","0.609"
"Wyoming","274","0.628","214","0.49"

"Notes"
"Numerical data are reported in thousands and apply to the November 2014, November 2016, November 2018, November 2020, November 2022, and November 2024 elections. Data may not sum to total due to rounding."
""
"*Voter Population* includes US citizens who are of voting age (18 years of age or older). This population may include individuals who are ineligible to vote for reasons other than lack of citizenship or who are under 18 years of age."

"Sources"
"U.S. Census Bureau, Current Population Survey, November 2014, 2016, 2018, 2020, 2022, and 2024; [Voting and Registration Tables](https://www.census.gov/topics/public-sector/voting/data/tables.html)."


