"Title: Number of Voters and Voter Registration as a Share of the Voter Population | KFF"
"Timeframe: November 2014"
"Location","Number of Registered Voters (in thousands)","Registered Voters as a Share of the Voter Population","Number of Individuals who Voted (in thousands)","Individuals who Voted as a Share of the Voter Population"
"United States","142166","0.646","92251","0.419"
"Alabama","2366","0.672","1497","0.425"
"Alaska","336","0.668","255","0.507"
"Arizona","2738","0.623","1785","0.406"
"Arkansas","1292","0.628","798","0.388"
"California","14113","0.577","8949","0.366"
"Colorado","2654","0.711","2211","0.593"
"Connecticut","1668","0.651","1195","0.467"
"Delaware","442","0.668","299","0.452"
"District of Columbia","353","0.735","247","0.514"
"Florida","8691","0.626","6220","0.448"
"Georgia","4306","0.637","2919","0.432"
"Hawaii","490","0.513","399","0.418"
"Idaho","671","0.607","462","0.418"
"Illinois","5716","0.639","3734","0.417"
"Indiana","3048","0.649","1646","0.351"
"Iowa","1584","0.696","1203","0.529"
"Kansas","1353","0.679","962","0.483"
"Kentucky","2298","0.716","1525","0.475"
"Louisiana","2398","0.717","1677","0.502"
"Maine","799","0.765","642","0.615"
"Maryland","2995","0.722","2028","0.489"
"Massachusetts","3250","0.675","2259","0.469"
"Michigan","5159","0.712","3416","0.471"
"Minnesota","2822","0.718","2047","0.52"
"Mississippi","1628","0.76","907","0.423"
"Missouri","3194","0.721","1713","0.387"
"Montana","506","0.648","391","0.501"
"Nebraska","873","0.669","579","0.443"
"Nevada","1088","0.585","693","0.373"
"New Hampshire","694","0.683","509","0.502"
"New Jersey","3919","0.663","2151","0.364"
"New Mexico","919","0.649","646","0.456"
"New York","8078","0.594","4680","0.344"
"North Carolina","4779","0.697","3170","0.462"
"North Dakota","363","0.664","279","0.51"
"Ohio","5657","0.665","3378","0.397"
"Oklahoma","1644","0.611","920","0.342"
"Oregon","2008","0.7","1594","0.555"
"Pennsylvania","6121","0.644","3803","0.4"
"Rhode Island","486","0.636","331","0.433"
"South Carolina","2458","0.689","1514","0.424"
"South Dakota","401","0.649","273","0.441"
"Tennessee","3088","0.641","1763","0.366"
"Texas","9946","0.591","5836","0.346"
"Utah","1101","0.572","703","0.365"
"Vermont","324","0.672","205","0.425"
"Virginia","3924","0.666","2453","0.417"
"Washington","3281","0.687","2390","0.5"
"West Virginia","896","0.622","484","0.336"
"Wisconsin","3005","0.71","2343","0.554"
"Wyoming","241","0.565","172","0.403"

"Notes"
"Numerical data are reported in thousands and apply to the November 2014, November 2016, November 2018, November 2020, November 2022, and November 2024 elections. Data may not sum to total due to rounding."
""
"*Voter Population* includes US citizens who are of voting age (18 years of age or older). This population may include individuals who are ineligible to vote for reasons other than lack of citizenship or who are under 18 years of age."

"Sources"
"U.S. Census Bureau, Current Population Survey, November 2014, 2016, 2018, 2020, 2022, and 2024; [Voting and Registration Tables](https://www.census.gov/topics/public-sector/voting/data/tables.html)."


